127,NaN,NaN,252
125,NaN,NaN,253
128,NaN,NaN,254
126,NaN,NaN,254
128,NaN,NaN,252
124,NaN,NaN,252
128,NaN,NaN,253
125,NaN,NaN,252
127,NaN,NaN,253
126,NaN,NaN,252
126,NaN,NaN,252
126,NaN,NaN,254
128,NaN,NaN,253
125,NaN,NaN,253
128,NaN,NaN,252
124,NaN,NaN,252
128,NaN,NaN,252
124,NaN,NaN,252
128,NaN,NaN,254
126,NaN,NaN,252
126,NaN,NaN,251
125,NaN,NaN,248
123,NaN,NaN,247
124,NaN,NaN,252
128,NaN,NaN,252
124,NaN,NaN,252
128,NaN,NaN,252
124,NaN,NaN,252
128,NaN,NaN,253
125,NaN,NaN,252
127,NaN,NaN,252
125,NaN,NaN,251
126,NaN,NaN,250
124,NaN,NaN,251
127,NaN,NaN,252
125,NaN,NaN,253
128,NaN,NaN,252
124,NaN,NaN,252
128,NaN,NaN,252
124,NaN,NaN,252
128,NaN,NaN,253
125,NaN,NaN,252
127,NaN,NaN,252
125,NaN,NaN,250
125,NaN,NaN,249
124,NaN,NaN,252
128,NaN,NaN,252
124,NaN,NaN,252
128,NaN,NaN,252
124,NaN,NaN,251
127,NaN,NaN,NaN
